ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
ABIO,54.94909783455016,0.0,45.30762009057678,55.393008814627315,100.0,51.12994534795086,54.201274932208285,"ПАО ""Артген""",22,Научные исследования и разработки в области естественных и технических наук прочие,ABIO,,300.0,221667000.0,,2670000000.0,2990000000.0,568000000.0,831000000.0,0.08,0.032,103.26,83.28,0.0,-0.19,85.7,68.48,1.2,-0.19,0,0,0.212734082,0.277926421,0.08302135,,21.70534430935857,,Прочие,5.494909783455016,0.0,4.530762009057678,5.539300881462731,10.0,5.112994534795086,5.4201274932208285,0.032,-0.19
AFKS,65.73372982616132,0.0,51.34650610328117,53.537698373099566,,,,"ПАО АФК ""СИСТЕМА""",33,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",AFKS,266.0,,4959622000.0,4883454000.0,664791000000.0,709972000000.0,463320000000.0,494118000000.0,-0.0934,0.0203,16.328,15.594,0.0,-0.04,15.125,13.234,0.0,-0.13,0,0,0.696940071,0.695968238,0.00746042,0.006878377,27.222738542489875,5.583496308781699,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",6.5733729826161325,0.0,5.1346506103281175,5.353769837309956,,,,0.0203,-0.13
AFLT,65.97808369476103,6.191581728445877,35.51496412035623,47.81607026791687,100.0,51.10013996229601,53.92795745295602,"ПАО ""АЭРОФЛОТ""",32,"Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию",AFLT,33300.0,,440922000000.0,457205000000.0,957079000000.0,933998000000.0,1032420000000.0,907253000000.0,0.0232,0.1301,35.75,59.06,5.27,0.8,58.13,57.95,5.29,0.09,1,1,1.078718437,0.97136467,0.46069578,0.489513792,27.587151774626605,10.413312675968536,Прочие,6.597808369476103,0.6191581728445877,3.551496412035623,4.781607026791687,10.0,5.110013996229601,5.392795745295603,0.1301,0.09
AGRO,59.25680215447781,0.0,61.53000536209904,64.52269105633006,100.0,57.06189971458138,59.386741044610226,РОС АГРО ПЛС,30,Деятельность холдинговых компаний,AGRO,30995.0,29800.0,170663000000.0,,508800000000.0,551200000000.0,161000000000.0,200200000000.0,0.071,0.034,1392.0,,0.0,,,,16.48,,0,0,0.316430818,0.363207547,0.33542171,,26.955320848972324,10.34158118013602,Деятельность холдинговых компаний,5.925680215447781,0.0,6.153000536209904,6.452269105633006,10.0,5.706189971458138,5.938674104461023,0.034,
AKRN,57.46961581615983,11.38351243484765,47.9599524189552,,100.0,,,"ПАО ""АКРОН""",34,Производство азотных минеральных или химических удобрений,AKRN,,,75837228000.0,87174199000.0,364594000000.0,364776000000.0,202697000000.0,174010000000.0,0.0482,0.1437,18866.0,17770.0,427.0,-0.04,17652.0,18056.0,723.0,0.06,0,0,0.555953152,0.477033504,0.20800453,0.23898,26.622050242665,,Прочие,5.746961581615983,1.1383512434847651,4.79599524189552,,10.0,,,0.1437,0.06
ALRS,58.4314252804809,3.0356033159593734,43.67156592234197,55.1547768197467,100.0,52.05867426770578,54.96213129279537,"АК ""АЛРОСА"" (ПАО)",34,Добыча алмазов,ALRS,,,292982000000.0,279940000000.0,712292000000.0,726642000000.0,324992000000.0,312552000000.0,0.0121,0.0417,71.2,57.86,2.49,-0.15,56.05,41.38,0.0,-0.26,1,1,0.456262585,0.430132305,0.41132286,0.38525124,27.29175377664485,,Прочие,5.84314252804809,0.3035603315959373,4.367156592234197,5.51547768197467,10.0,5.2058674267705785,5.496213129279537,0.0417,-0.26
APTK,66.55529198915153,72.16976134290604,62.47365751092821,39.28924824893405,100.0,68.09759181838398,73.10488544970237,"ПАО ""АПТЕЧНАЯ СЕТЬ 36,6""",24,Консультирование по вопросам коммерческой деятельности и управления,APTK,84.0,94.0,8000.0,,78152297000.0,79393923000.0,32464755000.0,33662857000.0,0.0015,0.0006,14.516,11.5,0.0,-0.21,11.3,8.468,0.0,-0.25,0,0,0.415403721,0.423997905,1.0236e-07,,25.081925285576453,4.430816798843313,Прочие,6.655529198915152,7.216976134290604,6.247365751092821,3.928924824893405,10.0,6.809759181838397,7.310488544970236,0.0006,-0.25
AQUA,60.20812787226331,0.0,48.52645495464854,49.84186381102373,100.0,51.71528932758711,54.75354581715494,"ПАО ""Русская Аквакультура""",28,Рыбоводство морское,AQUA,1172.0,1000.0,17413759000.0,20058191000.0,58800000000.0,60300000000.0,14100000000.0,17100000000.0,0.175,0.035,868.5,607.0,40.0,-0.26,600.5,492.4,10.0,-0.16,0,0,0.239795918,0.28358209,0.29615236,0.332639983,24.797407691850992,7.066466970136958,Прочие,6.0208127872263315,0.0,4.852645495464854,4.984186381102373,10.0,5.171528932758711,5.475354581715494,0.035,-0.16
ASTR,59.95850186118509,21.305039776182326,47.2181312696725,42.82530996320193,100.0,54.26139657404837,58.227850846391895,"ПАО ""Группа Астра""",17,Разработка компьютерного программного обеспечения,ASTR,2803.0,2738.0,1015970000.0,2162154000.0,19200000000.0,24500000000.0,2940000000.0,3350000000.0,0.337,0.258,513.1,469.5,3.15,-0.08,468.6,252.95,5.79,-0.45,0,0,0.153125,0.136734694,0.0529151,0.088251184,23.678176115980147,7.938445551164788,Разработка компьютерного программного обеспечения,5.995850186118509,2.1305039776182326,4.72181312696725,4.282530996320193,10.0,5.426139657404837,5.8227850846391895,0.258,-0.45
BANEP,50.881316692276336,0.0,40.07404398572624,,,,,"ПАО АНК ""Башнефть""",79,Добыча сырой нефти и нефтяного (попутного) газа,BANEP,,,17335000000.0,20386000000.0,1163000000000.0,1118000000000.0,,,0.09,0.044,1794.5,1314.5,147.31,-0.19,1282.5,879.0,69.29,-0.26,1,1,,,0.01490542,0.018234347,27.782023989465074,,Прочие,5.088131669227634,0.0,4.007404398572624,,,,,0.044,-0.26
